,potential_total_value_of_award,awarding_office_name,funding_office_name,foreign_funding,recipient_city_name,recipient_county_name,recipient_state_code,recipient_zip_4_code,primary_place_of_performance_city_name,prime_award_transaction_place_of_performance_county_fips_code,prime_award_transaction_place_of_performance_state_fips_code,primary_place_of_performance_zip_4,award_type,type_of_contract_pricing,number_of_actions,product_or_service_code,contract_bundling,naics_code,recovered_materials_sustainability,domestic_or_foreign_entity,epa_designated_product,country_of_product_or_service_origin,place_of_manufacture,extent_competed,solicitation_procedures,commercial_item_acquisition_procedures,small_business_competitiveness_demonstration_program,simplified_procedures_for_certain_commercial_items,local_area_set_aside,clinger_cohen_act_planning,labor_standards,contracting_officers_determination_of_business_size,labor_surplus_area_firm,contingency_humanitarian_or_peacekeeping_operation,alaskan_native_corporation_owned_firm,american_indian_owned_business,indian_tribe_federally_recognized,native_hawaiian_organization_owned_firm,tribally_owned_firm,veteran_owned_business,service_disabled_veteran_owned_business,woman_owned_business,women_owned_small_business,economically_disadvantaged_women_owned_small_business,joint_venture_women_owned_small_business,joint_venture_economic_disadvantaged_women_owned_small_bus,minority_owned_business,subcontinent_asian_asian_indian_american_owned_business,asian_pacific_american_owned_business,black_american_owned_business,hispanic_american_owned_business,native_american_owned_business,other_minority_owned_business,contracting_officers_determination_of_business_size_code,emerging_small_business,community_developed_corporation_owned_firm,us_federal_government,federally_funded_research_and_development_corp,federal_agency,us_state_government,us_local_government,city_local_government,county_local_government,inter_municipal_local_government,local_government_owned,municipality_local_government,school_district_local_government,township_local_government,us_tribal_government,foreign_government,organizational_type,corporate_entity_not_tax_exempt,corporate_entity_tax_exempt,partnership_or_limited_liability_partnership,sole_proprietorship,small_agricultural_cooperative,international_organization,us_government_entity,community_development_corporation,domestic_shelter,educational_institution,foundation,hospital_flag,manufacturer_of_goods,veterinary_hospital,hispanic_servicing_institution,receives_contracts,receives_financial_assistance,receives_contracts_and_financial_assistance,airport_authority,council_of_governments,housing_authorities_public_tribal,interstate_entity,planning_commission,port_authority,transit_authority,subchapter_scorporation,limited_liability_corporation,foreign_owned,for_profit_organization,nonprofit_organization,other_not_for_profit_organization,the_ability_one_program,private_university_or_college,state_controlled_institution_of_higher_learning,1862_land_grant_college,1890_land_grant_college,1994_land_grant_college,minority_institution,historically_black_college,tribal_college,alaskan_native_servicing_institution,native_hawaiian_servicing_institution,school_of_forestry,veterinary_college,dot_certified_disadvantage,self_certified_small_disadvantaged_business,small_disadvantaged_business,c8a_program_participant,historically_underutilized_business_zone_hubzone_firm,sba_certified_8a_joint_venture,action_date,period_of_performance_start_date
0,675000.0,REGION 1 CONTRACTING OFFICE,REGION 1 (FUNDING OFFICE),X,MARLBOROUGH,,MA,17524818,BOSTON,25025.0,25.0,21093912.0,DELIVERY ORDER,TIME AND MATERIALS,1.0,B510,NOT BUNDLED,562910.0,FAR 52.223-4 AND FAR 52.223-9 INCLUDED,U.S. OWNED BUSINESS,MEETS REQUIREMENTS,UNITED STATES,NOT A MANUFACTURED END PRODUCT,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,COMMERCIAL PRODUCTS/SERVICES PROCEDURES NOT USED,0,NO,NO,NO,NOT APPLICABLE,SMALL BUSINESS,0,NOT APPLICABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PARTNERSHIP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2023-09-14,2022-10-27
1,224990.0,REGION 1 CONTRACTING OFFICE,REGION 1 (FUNDING OFFICE),X,TRAVERSE CITY,GRAND TRAVERSE,MI,496863458,BOSTON,25025.0,25.0,21093912.0,BPA CALL,FIRM FIXED PRICE,1.0,F115,NOT BUNDLED,541620.0,ENVIRONMENTALLY PREFERABLE,U.S. OWNED BUSINESS,NOT REQUIRED,UNITED STATES,NOT A MANUFACTURED END PRODUCT,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,COMMERCIAL PRODUCTS/SERVICES,0,NO,NO,NO,YES,SMALL BUSINESS,0,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CORPORATE NOT TAX EXEMPT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-12-16,2023-01-03
2,6911.29,REGION 1 CONTRACTING OFFICE,REGION 1 (FUNDING OFFICE),X,CORINTH,ORANGE,VT,050399517,NORTH CHELMSFORD,25017.0,25.0,18632431.0,BPA CALL,TIME AND MATERIALS,1.0,F113,NOT BUNDLED,541620.0,ENVIRONMENTALLY PREFERABLE,U.S. OWNED BUSINESS,NOT REQUIRED,UNITED STATES,NOT A MANUFACTURED END PRODUCT,NOT COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,COMMERCIAL PRODUCTS/SERVICES,0,NO,NO,NO,NOT APPLICABLE,SMALL BUSINESS,0,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOLE PROPRIETORSHIP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-08,2023-02-02
3,145509.45,REGION 1 CONTRACTING OFFICE,REGION 1 (FUNDING OFFICE),X,VALENCIA,LOS ANGELES,CA,913554550,BOSTON,25025.0,25.0,021093912,BPA CALL,FIRM FIXED PRICE,1.0,5810,NOT BUNDLED,334290.0,ENVIRONMENTALLY PREFERABLE,U.S. OWNED BUSINESS,NOT REQUIRED,UNITED STATES,MFG IN U.S.,NOT COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,COMMERCIAL PRODUCTS/SERVICES,0,NO,NO,NO,NO,SMALL BUSINESS,0,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PARTNERSHIP,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-09-27,2023-03-03
4,3669527.0,REGION 1 CONTRACTING OFFICE,REGION 1 (FUNDING OFFICE),X,FAIRFAX,FAIRFAX,VA,220307301,STRATFORD,9001.0,9.0,066141140,DELIVERY ORDER,COST PLUS FIXED FEE,1.0,F108,NOT BUNDLED,562910.0,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,U.S. OWNED BUSINESS,NOT REQUIRED,UNITED STATES,NOT A MANUFACTURED END PRODUCT,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,COMMERCIAL PRODUCTS/SERVICES PROCEDURES NOT USED,0,NO,NO,NO,NO,OTHER THAN SMALL BUSINESS,0,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CORPORATE NOT TAX EXEMPT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-09-22,2023-02-14
5,8305495.65,REGION 1 CONTRACTING OFFICE,REGION 1 (FUNDING OFFICE),X,LOS ANGELES,LOS ANGELES,CA,900713173,DORCHESTER CENTER,25025.0,25.0,21240004.0,DELIVERY ORDER,COST PLUS FIXED FEE,1.0,F108,NOT BUNDLED,562910.0,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,OTHER U.S. ENTITY (E.G. GOVERNMENT),NOT REQUIRED,UNITED STATES,NOT A MANUFACTURED END PRODUCT,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,COMMERCIAL PRODUCTS/SERVICES PROCEDURES NOT USED,0,NO,NO,NO,NO,OTHER THAN SMALL BUSINESS,0,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CORPORATE NOT TAX EXEMPT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-09-20,2023-02-17
6,500000.0,REGION 1 CONTRACTING OFFICE,REGION 1 (FUNDING OFFICE),X,FENTON,ST. LOUIS,MO,630262926,WINDSOR,50027.0,50.0,50891811.0,DELIVERY ORDER,TIME AND MATERIALS,1.0,F108,NOT BUNDLED,562910.0,ENVIRONMENTALLY PREFERABLE,U.S. OWNED BUSINESS,MEETS REQUIREMENTS,UNITED STATES,NOT A MANUFACTURED END PRODUCT,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,COMMERCIAL PRODUCTS/SERVICES PROCEDURES NOT USED,0,NO,NO,NO,YES,SMALL BUSINESS,0,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CORPORATE NOT TAX EXEMPT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-06-05,2023-03-01
7,41597.42,REGION 1 CONTRACTING OFFICE,REGION 1 (FUNDING OFFICE),X,INDIAN ISLAND,PENOBSCOT,ME,044681254,BOSTON,25025.0,25.0,021093912,DELIVERY ORDER,FIRM FIXED PRICE,1.0,B516,NOT BUNDLED,921150.0,ENVIRONMENTALLY PREFERABLE,U.S. OWNED BUSINESS,NOT REQUIRED,UNITED STATES,NOT A MANUFACTURED END PRODUCT,NOT COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,COMMERCIAL PRODUCTS/SERVICES,0,NO,NO,NO,YES,OTHER THAN SMALL BUSINESS,0,NOT APPLICABLE,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CORPORATE NOT TAX EXEMPT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2023-03-01,2023-03-01
8,3080000.0,REGION 1 CONTRACTING OFFICE,REGION 1 (FUNDING OFFICE),X,FENTON,ST. LOUIS,MO,630262926,HYDE PARK,25025.0,25.0,021360002,DELIVERY ORDER,TIME AND MATERIALS,1.0,F108,NOT BUNDLED,562910.0,ENVIRONMENTALLY PREFERABLE,U.S. OWNED BUSINESS,MEETS REQUIREMENTS,UNITED STATES,NOT A MANUFACTURED END PRODUCT,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,COMMERCIAL PRODUCTS/SERVICES PROCEDURES NOT USED,0,NO,NO,NO,YES,SMALL BUSINESS,0,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CORPORATE NOT TAX EXEMPT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-08-28,2023-03-06
9,54603.46,REGION 1 CONTRACTING OFFICE,REGION 1 (FUNDING OFFICE),X,WEST PALM BEACH,PALM BEACH,FL,334071976,NORTH CHELMSFORD,25017.0,25.0,18632431.0,DELIVERY ORDER,FIRM FIXED PRICE,1.0,6630,NOT BUNDLED,334516.0,ENVIRONMENTALLY PREFERABLE,,NOT REQUIRED,UNITED STATES,MFG IN U.S.,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,COMMERCIAL PRODUCTS/SERVICES,0,NO,NO,NO,NOT APPLICABLE,OTHER THAN SMALL BUSINESS,0,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-04-03,2023-04-03
